n,t_seconds,alpha,x,y,h,f_norm,step_frames
271,3.146303855,9.884405076,-0.896217977,-0.443613952,335.499094271,1.936820712,5
274,3.181133787,9.993826535,-0.842414014,-0.538830798,340.064156813,2.233111364,3
276,3.204353741,10.066774174,-0.800902031,-0.598795404,345.576208780,2.350722202,2
279,3.239183673,10.176195632,-0.730721794,-0.682675369,350.492358251,1.319613972,3
293,3.401723356,10.686829105,-0.303863392,-0.952715613,355.000100619,0.231198114,14
296,3.436553288,10.796250563,-0.198006490,-0.980200709,362.059065343,2.969038318,3
297,3.448163265,10.832724383,-0.162131060,-0.986769233,365.101272474,3.042207132,1
303,3.517823129,11.051567299,0.055963758,-0.998432801,370.360629743,1.109480458,6
307,3.564263039,11.197462577,0.200519625,-0.979689686,376.488845513,2.536687348,4
308,3.575873016,11.233936397,0.236111363,-0.971726003,380.073659589,3.584814076,1
313,3.633922902,11.416305494,0.408428001,-0.912790539,386.057836336,1.195856859,5
315,3.657142857,11.489253133,0.473868662,-0.880595532,392.905042446,4.023487951,2
321,3.726802721,11.708096050,0.653744105,-0.756715697,395.113208443,0.347367231,6
333,3.866122449,12.145781884,0.912848721,-0.408297946,400.844630832,1.884931107,12
335,3.889342404,12.218729523,0.940178963,-0.340680962,407.764462019,3.039490678,2
336,3.900952381,12.255203342,0.951976835,-0.306170061,410.530680494,2.766218475,1
339,3.935782313,12.364624800,0.979718245,-0.200380041,415.173934904,1.285563268,3
342,3.970612245,12.474046259,0.995741133,-0.092193253,420.188667128,1.084116658,3
345,4.005442177,12.583467717,0.999853848,0.017096270,426.825674817,2.973167151,3
348,4.040272109,12.692889176,0.992007197,0.126181302,430.395699252,0.900492556,3
353,4.098321995,12.875258273,0.952672310,0.303999128,435.294746217,1.022991101,5
355,4.121541950,12.948205912,0.927982323,0.372624220,443.937790245,4.882305058,2
357,4.144761905,13.021153551,0.898356398,0.439267324,445.248277076,0.470494473,2
373,4.330521542,13.604734662,0.507630431,0.861574922,450.156604700,0.620696985,16
375,4.353741497,13.677682301,0.443486258,0.896281172,456.140109462,3.450906926,2
377,4.376961451,13.750629940,0.376983183,0.926220103,462.009523237,2.592152314,2
383,4.446621315,13.969472857,0.166909226,0.985972267,465.342018980,0.659925222,6
385,4.469841270,14.042420496,0.094604754,0.995514912,470.260827358,3.816668629,2
386,4.481451247,14.078894316,0.058239652,0.998302631,476.018053547,5.757226189,1
388,4.504671202,14.151841954,-0.014674487,0.999892324,481.424983898,2.095211375,2
391,4.539501134,14.261263413,-0.123778204,0.992309909,486.698233617,1.845498394,3
395,4.585941043,14.407158691,-0.266723485,0.963773097,490.592397116,2.084536281,4
397,4.609160998,14.480106330,-0.336256770,0.941770346,495.260428099,2.115009442,2
405,4.702040816,14.771896885,-0.592960079,0.805231858,500.063458744,0.263315364,8
415,4.818140590,15.136635080,-0.841183500,0.540749775,506.043540869,1.290163422,10
418,4.852970522,15.246056539,-0.895204380,0.445655829,510.893052748,0.899773276,3
422,4.899410431,15.391951816,-0.950482528,0.310777997,516.435431801,1.754813148,4
424,4.922630385,15.464899455,-0.970605141,0.240677504,521.904024527,2.469372802,2
426,4.945850340,15.537847094,-0.985565106,0.169296847,525.086620892,0.985331926,2
432,5.015510204,15.756690011,-0.998813087,-0.048707464,530.608898526,1.304054185,6
434,5.038730159,15.829637650,-0.992606800,-0.121374380,537.921035844,4.427098075,2
436,5.061950113,15.902585289,-0.981120839,-0.193395706,540.395730192,0.582775922,2
447,5.189659864,16.303797303,-0.827680727,-0.561199265,545.033608743,0.375663860,11
454,5.270929705,16.559114039,-0.659118157,-0.752039397,553.467528261,4.499694219,7
455,5.282539683,16.595587859,-0.631256112,-0.775574446,557.013466425,3.545938163,1
457,5.305759637,16.668535498,-0.573051126,-0.819519619,561.471074106,1.754752540,2
462,5.363809524,16.850904595,-0.414920113,-0.909857846,565.739134750,0.838463460,5
464,5.387029478,16.923852234,-0.347503501,-0.937678685,570.237044684,2.521334707,2
468,5.433469388,17.069747512,-0.207493585,-0.978236379,576.273072062,1.316252740,4
473,5.491519274,17.252116609,-0.026639833,-0.999645097,581.448153931,2.640391927,5
474,5.503129252,17.288590429,0.009830676,-0.999951678,586.046197620,4.598043689,1
483,5.607619048,17.616854804,0.331690738,-0.943388178,590.013868938,0.321725400,9
493,5.723718821,17.981592999,0.646382205,-0.763013791,595.114542303,2.239365254,10
496,5.758548753,18.091014457,0.725840056,-0.687863514,601.756204322,2.101224217,3
499,5.793378685,18.200435916,0.796616051,-0.604485622,605.791455590,1.700955067,3
503,5.839818594,18.346331194,0.876031985,-0.482253006,611.698451000,1.929670113,4
505,5.863038549,18.419278832,0.908850204,-0.417122651,616.217572454,1.974744365,2
510,5.921088435,18.601647930,0.969427872,-0.245376447,621.240009319,1.275375800,5
513,5.955918367,18.711069388,0.990426056,-0.138044296,626.356138378,3.675232923,3
514,5.967528345,18.747543208,0.994801214,-0.101835872,630.721640362,4.365501984,1
523,6.072018141,19.075807583,0.974514090,0.224326299,635.364799543,0.413177573,9
534,6.199727891,19.477019597,0.809519170,0.587093445,641.415356875,2.100242542,11
536,6.222947846,19.549967236,0.764577147,0.644532223,647.469924719,2.871801403,2
540,6.269387755,19.695862514,0.662753423,0.748837700,650.478932376,0.661831146,4
545,6.327437642,19.878231611,0.515953723,0.856616458,659.829196513,5.381992644,5
546,6.339047619,19.914705431,0.484373417,0.874861356,662.610997188,2.781800675,1
548,6.362267574,19.987653070,0.419322742,0.907837231,665.685984623,1.465883942,2
554,6.431927438,20.206495987,0.212229884,0.977219769,672.325222296,2.487218061,6
560,6.501587302,20.425338903,-0.004986634,0.999987567,675.103989292,0.870387682,6
572,6.640907029,20.863024737,-0.428355880,0.903610115,680.579893187,1.865299757,12
575,6.675736961,20.972446195,-0.524471223,0.851428174,687.439525687,2.447516416,3
577,6.698956916,21.045393834,-0.585130997,0.810938787,690.054077643,1.042838857,2
581,6.745396825,21.191289112,-0.696807518,0.717258171,696.183009944,1.489778747,4
583,6.768616780,21.264236751,-0.747230257,0.664565229,702.197621274,3.529487391,2
585,6.791836735,21.337184390,-0.793678479,0.608337466,705.878363810,0.973961075,2
591,6.861496599,21.556027307,-0.906818932,0.421520373,710.466390888,1.302119519,6
593,6.884716553,21.628974946,-0.935128900,0.354307692,716.788669690,4.155679800,2
595,6.907936508,21.701922585,-0.958464918,0.285210449,721.857220254,2.440913471,2
600,6.965986395,21.884291682,-0.994296233,0.106653653,725.411054274,0.845302055,5
610,7.082086168,22.249029877,-0.966932485,-0.255032488,730.219267143,0.472742094,10
614,7.128526077,22.394925155,-0.919583760,-0.392894017,737.333873203,2.915182775,4
615,7.140136054,22.431398974,-0.904644980,-0.426166001,740.058505916,2.724632713,1
621,7.209795918,22.650241891,-0.790547810,-0.612400327,745.180385234,0.854610573,6
624,7.244625850,22.759663349,-0.718943795,-0.695068212,750.109959267,2.301621286,3
627,7.279455782,22.869084808,-0.638740412,-0.769422307,757.009619360,2.119249292,3
631,7.325895692,23.014980086,-0.520097257,-0.854107045,760.050586594,0.245306003,4
633,7.349115646,23.087927725,-0.456464209,-0.889741775,765.778901369,3.523998250,2
642,7.453605442,23.416192100,-0.145237291,-0.989396851,770.087637889,0.267772739,9
651,7.558095238,23.744456475,0.181500002,-0.983390944,775.307809159,2.421774616,9
652,7.569705215,23.780930295,0.217239358,-0.976118364,780.405765072,5.097955914,1
654,7.592925170,23.853877934,0.287804005,-0.957689331,786.843138891,2.971347496,2
656,7.616145125,23.926825572,0.356837823,-0.934166349,790.391604092,1.287365672,2
659,7.650975057,24.036247031,0.456717724,-0.889611668,795.765784886,1.977661967,3
662,7.685804989,24.145668489,0.551134772,-0.834416241,800.496920030,2.401477248,3
664,7.709024943,24.218616128,0.610483755,-0.792028778,805.049185789,1.591966082,2
669,7.767074830,24.400985226,0.744002229,-0.668177135,810.659108110,1.443809769,5
672,7.801904762,24.510406684,0.812519787,-0.582933611,816.797297297,4.122775061,3
673,7.813514739,24.546880503,0.833236485,-0.552916775,821.244249591,4.446952294,1
681,7.906394558,24.838671059,0.957072067,-0.289850061,825.039920040,0.746039184,8
692,8.034104308,25.239883073,0.994265801,0.106936975,830.789556467,3.080638529,11
694,8.057324263,25.312830712,0.983827669,0.179117611,837.709851897,3.206281456,2
695,8.068934240,25.349304532,0.976641674,0.214874477,840.339123095,2.629271198,1
702,8.150204082,25.604621268,0.890715269,0.454561668,845.053435439,1.179387900,7
704,8.173424036,25.677568907,0.855216613,0.518270726,854.564405637,5.701366217,2
705,8.185034014,25.714042727,0.835748690,0.549112127,857.951226689,3.386821052,1
706,8.196643991,25.750516546,0.815169060,0.579223103,860.216115831,2.264889142,1
709,8.231473923,25.859938004,0.747040857,0.664778127,866.057220867,2.026615801,3
713,8.277913832,26.005833282,0.642460122,0.766319118,870.344474178,2.032646329,4
715,8.301133787,26.078780921,0.584899895,0.811105488,875.344881832,2.265868222,2
723,8.394013605,26.370571477,0.326847635,0.945077046,880.122549644,0.159296850,8
733,8.510113379,26.735309672,-0.031766771,0.999495309,886.106747723,1.269074487,10
736,8.544943311,26.844731130,-0.140724912,0.990048736,890.765036164,0.921403339,3
740,8.591383220,26.990626408,-0.283161428,0.959072263,896.372453302,1.790016191,4
742,8.614603175,27.063574047,-0.352308385,0.935883968,902.012186999,2.526141273,2
744,8.637823129,27.136521686,-0.419581415,0.907717708,905.521387929,1.098674243,2
750,8.707482993,27.355364603,-0.606639877,0.794976766,911.170811080,1.293686786,6
752,8.730702948,27.428312242,-0.662966779,0.748648817,918.131102139,4.184669133,2
753,8.742312925,27.464786061,-0.689825870,0.723975324,920.445213481,2.314111341,1
756,8.777142857,27.574207520,-0.764760776,0.644314330,925.991592453,1.417747490,3
763,8.858412698,27.829524256,-0.902692597,0.430286039,931.186576863,1.856676495,7
765,8.881632653,27.902471895,-0.931652406,0.363350786,938.133806436,3.762990037,2
766,8.893242630,27.938945714,-0.944282621,0.329135735,940.480733842,2.346927407,1
770,8.939682540,28.084840992,-0.982099881,0.188360887,945.176009141,0.550394380,4
772,8.962902494,28.157788631,-0.993216286,0.116281595,954.292572616,5.574328500,2
773,8.974512472,28.194262451,-0.996795995,0.079985897,958.082184925,3.789612309,1
774,8.986122449,28.230736270,-0.999049775,0.043583802,961.077406077,2.995221153,1
777,9.020952381,28.340157728,-0.997834393,-0.065776323,966.028002588,1.574961607,3
781,9.067392290,28.486053006,-0.977671101,-0.210140947,972.675623461,2.849607011,4
782,9.079002268,28.522526826,-0.969357912,-0.245652677,976.190508473,3.514885012,1
785,9.113832200,28.631948284,-0.936734545,-0.350040559,980.794780076,1.331078063,3
791,9.183492063,28.850791201,-0.838398871,-0.545057183,986.633396073,2.868449921,6
792,9.195102041,28.887265020,-0.817965346,-0.575267497,991.119849257,4.486453184,1
802,9.311201814,29.252003215,-0.558956645,-0.829196882,995.029926935,0.175583193,10
812,9.427301587,29.616741410,-0.226408456,-0.974032449,1001.606557720,1.845094115,10
814,9.450521542,29.689689049,-0.154815956,-0.987943328,1006.351334441,2.284400634,2
818,9.496961451,29.835584327,-0.009545737,-0.999954438,1010.624837337,1.222798608,4
822,9.543401361,29.981479605,0.135927306,-0.990718814,1016.098485911,1.391933192,4
824,9.566621315,30.054427243,0.207772326,-0.978177213,1022.147795185,3.174238390,2
826,9.589841270,30.127374882,0.278512206,-0.960432690,1026.143033929,1.694166404,2
830,9.636281179,30.273270160,0.415179362,-0.909739577,1030.090984408,0.664855142,4
832,9.659501134,30.346217799,0.480379705,-0.877060624,1036.695323470,3.499519445,2
834,9.682721088,30.419165438,0.543024909,-0.839716588,1041.099826841,2.085703867,2
840,9.752380952,30.638008355,0.712376097,-0.701797903,1045.000873959,0.262297427,6
852,9.891700680,31.075694189,0.942677155,-0.333706130,1051.496181676,2.025427523,12
854,9.914920635,31.148641828,0.964491596,-0.264113538,1056.246956724,1.986442606,2
858,9.961360544,31.294537105,0.992641346,-0.121091530,1060.156135112,0.330766638,4
860,9.984580499,31.367484744,0.998826926,-0.048422848,1065.066392619,3.122339480,2
862,10.007800454,31.440432383,0.999699747,0.024503395,1072.803200725,3.859164322,2
863,10.019410431,31.476906203,0.998141316,0.060941882,1075.628246858,2.825046133,1
869,10.089070295,31.695749120,0.961104453,0.276185137,1080.122472645,0.652244476,6
872,10.123900227,31.805170578,0.925196202,0.379489114,1085.727836465,2.373438145,3
885,10.274829932,32.279330231,0.649854229,0.760058867,1090.035152278,0.423582046,13
891,10.344489796,32.498173148,0.469345759,0.883014472,1099.256826173,4.651532064,6
892,10.356099773,32.534646967,0.436833829,0.899542220,1102.031373207,2.774547033,1
894,10.379319728,32.607594606,0.370110771,0.928987630,1106.562921908,1.766668020,2
898,10.425759637,32.753489884,0.231124169,0.972924261,1111.151698700,1.497071603,4
901,10.460589569,32.862911343,0.123495439,0.992345140,1115.308665957,1.430696071,3
904,10.495419501,32.972332801,0.014389565,0.999896465,1122.608568215,2.867204233,3
905,10.507029478,33.008806621,-0.022081963,0.999756164,1125.233361413,2.624793198,1
907,10.530249433,33.081754260,-0.094888424,0.995487914,1130.372034789,2.487686965,2
911,10.576689342,33.227649537,-0.238602639,0.971117285,1136.870807910,3.152575057,4
913,10.599909297,33.300597176,-0.308745977,0.951144533,1141.612009078,2.252911994,2
916,10.634739229,33.410018635,-0.410767566,0.911740098,1145.617576827,0.814935874,3
930,10.797278912,33.920652107,-0.803962783,0.594679615,1150.438494491,1.213561474,14
932,10.820498866,33.993599746,-0.845166654,0.534502878,1155.501005658,2.973222883,2
934,10.843718821,34.066547385,-0.881875086,0.471483121,1160.097530179,1.641655527,2
939,10.901768707,34.248916483,-0.952758896,0.303727650,1167.098372535,3.085894067,5
